Date,Time,TradeCount,BestPerformingTrade,AverageDuration,ROI,BTCValue/USDValue(Wallet),PriceOfBTC,ErrorLogs
10/17/2017,14:28:6,6,BTC_RBY: 2.18%,1:14:06,0.00 (4.00%),0.0BTC (0.0USD),0.0
10/17/2017,22:16:34,7,BTC_DGB: 2.77%,1:12:43,0.00 (5.65%),0.0BTC (0.0USD),0.0
10/17/2017,22:18:56,7,BTC_DGB: 2.77%,1:12:43,0.00 (5.65%),0.0BTC (0.0USD),0.0
10/18/2017,19:5:34,9,BTC_DGB: 2.77%,1:03:30,0.00 (9.10%),0.0BTC (0.0USD),0.0
10/18/2017,19:6:48,9,BTC_DGB: 2.77%,1:03:30,0.00 (9.10%),0.0BTC (0.0USD),0.0
10/18/2017,19:12:51,9,BTC_DGB: 2.77%,1:03:30,0.00 (9.10%),0.0BTC (0.0USD),0.0
10/18/2017,19:13:18,9,BTC_DGB: 2.77%,1:03:30,0.00 (9.10%),0.0BTC (0.0USD),0.0
10/18/2017,19:26:14,9,BTC_DGB: 2.77%,1:03:30,0.00 (9.10%),0.0BTC (0.0USD),0.0
10/24/2017,18:10:44,11,BTC_DGB: 2.60%,8:19:37,-0.00 (-5.88%),0.10658096BTC (587.79USD),5514.9388
10/24/2017,18:13:5,11,BTC_DGB: 2.60%,8:19:37,-0.00 (-5.88%),0.10658096BTC (588.44USD),5521.05
10/24/2017,18:18:4,11,BTC_DGB: 2.60%,8:19:37,-0.00 (-5.88%),0.10658096BTC (588.91USD),5525.4625
10/24/2017,18:21:16,11,BTC_DGB: 2.60%,8:19:37,-0.00 (-5.88%),0.10658096BTC (588.06USD),5517.48
10/24/2017,18:27:37,11,BTC_DGB: 2.60%,8:19:37,-0.00 (-5.88%),0.10658096BTC (588.51USD),5521.705
10/24/2017,18:32:31,11,BTC_DGB: 2.60%,8:19:37,-0.00 (-5.88%),0.10658096BTC (589.45USD),5530.5263
